psi,regime,variable,eps_a1,eps_a2,eps_a3,eps_pF,eps_D,eps_pX,eps_rp
0.02000000,managed,piDC,0.2792435368,4.693001172,79.60556748,7.612518529,0.2442054714,0.3576926338,7.207771176
0.02000000,managed,PIC,1.339099347,8.77926198,22.78858262,10.82827081,0.561914451,0.6713309454,55.03153985
0.02000000,managed,y_gap,0.8101952954,7.850881365,25.97309067,31.68317132,7.25204866,9.30967829,17.12093441
0.02000000,managed,y_gap1,2.430244312,11.93705731,80.1535052,2.007630058,0.9713024902,1.235744488,1.264516141
0.02000000,managed,y_gap2,2.076405318,36.94322805,48.59864312,3.445950811,1.720320652,2.38668909,4.828762962
0.02000000,managed,y_gap3,0.02845005553,8.040899226,50.30359849,22.34531027,3.853728382,4.806776296,10.62123728
0.02000000,managed,PI1,88.266543,0.6736666979,1.828123533,2.902208298,0.04218191066,0.05033346484,6.236943099
0.02000000,managed,PI2,1.453474985,88.02981893,3.397444749,5.284972073,0.0307411419,0.04255689812,1.760991225
0.02000000,managed,PI3,0.1531633486,1.373356616,84.1279387,6.612712696,0.2466630432,0.3630826476,7.123082945
0.02000000,managed,I,0.0353511967,1.62517115,11.13488961,2.28729724,0.2793190904,0.2229215677,84.41505015
0.02000000,managed,BSTAR,0.01429909756,0.4567829842,2.668892344,4.617298591,0.9001249673,1.17600294,90.16659908
